SystemCodeNumber,Latitude,Longitude,Occupancy,Capacity,OccupancyRate,Price,AdjustedPrice
BHMBCCMKT01,26.14453614,91.73617216,162.0297256097561,577.0,0.28081408251257556,16.651023549368418,17.228261262520107
BHMBCCTHL01,26.14449459,91.73620513,288.3574695121951,387.0,0.7451097403415894,17.228261262520107,17.228261262520107
BHMEURBRD01,26.14901995,91.7395035,302.4931402439024,470.0,0.6436024260508562,17.107920628794844,17.107920628794844
BHMMBMMBX01,20.0000347,78.00000286,477.3018292682927,687.0,0.6947624880178933,17.189922524385917,17.189922524385917
BHMNCPHST01,26.140013859999996,91.73099967,557.686737804878,1200.0,0.4647389481707317,16.916888124752482,17.003838219580388
BHMNCPNST01,26.140047530000004,91.73097233,285.938262195122,485.0,0.5895634272064371,17.003838219580388,17.003838219580388
Broad Street,26.13795775,91.74099445,436.1592987804878,690.0,0.6321149257688229,17.12472098960333,17.12472098960333
Others-CCCPS105a,26.14747299,91.72804914,1138.500762195122,2009.0,0.5667002300622808,17.076706294092336,17.076706294092336
Others-CCCPS119a,26.14754061,91.72797041,540.0914634146342,2803.0,0.19268336190318736,16.674076562945636,16.945112154819235
Others-CCCPS135a,26.147499429999996,91.72800489,2292.3826219512193,3883.0,0.5903637965364974,17.127126328211197,17.127126328211197
Others-CCCPS202,26.147490529999995,91.72799688,1010.8384146341464,2937.0,0.34417378775422075,16.822010249995813,16.822010249995813
Others-CCCPS8,26.147548859999997,91.72799519,661.1989329268292,1322.0,0.5001504787646212,16.927515003553797,16.927515003553797
Others-CCCPS98,26.14749998,91.72797778,1015.2599085365854,3103.0,0.32718656414327596,16.772202898243027,16.772202898243027
Shopping,26.15050395,91.73353109,1066.938262195122,1920.0,0.5556970115599593,17.01878223612025,17.01878223612025
